
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
1695,Evan Taubenfeld,acoustic,awesome,beautiful lyrics,cute,friendship,loved tracks,male vocals,memories,omg this is so good,pop
1696,10cc,70s,1970's,1970s,70's,70s pop,80s,classic rock,rock,seventies,soft rock
1697,Riverside,progressive rock,progressive metal,progressive,polish,rock,00's,art rock,dazs favourites,experimental,instrumental
1698,The Associates,80s,new wave,post-punk,1982 songs,1985 songs,alternative,alternative dance,fav artists,fav songs,instrumental
1699,Feeder,alternative,britpop,indie,indie rock,alternative rock,cities,indie luv,ohmydamn,remember him,rock
1700,Puddle of Mudd,alternative rock,rock,post-grunge,grunge,alternative,00s,puddle of mudd,specials to 3mmey,songs to hear before you die,songs that you wanna listen to over and over again
1701,DJ BoBo,dance,90s,eurodance,pop,00's,makes me wanna dance,male,male and female,male vocalists,party
1702,Alcazar,dance,pop,disco,swedish,00s,great,soul,slow,sing along,sexy
1703,Double You,00's,dance music,slow,pop,male vocalists,male,italian,great,disco,dance 00s
1704,DJ Calboy,00's,funny,remix,male vocalist,male and female,male,house music,house,eletronica,00s
1705,Mr. President,eurodance,00s,slow,rap,ragga,pop dance,pop,male vocalists,male and female,funny
1706,Joy Salinas,90's,90s,90s dance,club,dance 90s,disco,euro 90s,eurodance,female,house
1707,Alexia,dance,90's,female vocalists,sing along,scream along,remix,pop,made in brazil,italian,great
1708,Corona,dance,00's,female vocalists,spanish,remix,pop dance,pop,male and female,italodance,instro rock
1709,Jenny Berggren,00's,female,remix,pop,house music,house,great,female vocalists,dance music,00s
1710,Whigfield,pop,dance,00's,dance music,sing along,guilty pleasure,female vocalists,female,eurodance,euro 90s
1711,SNZ,brasil,pop,brazil,brazilian,cover,dance,female vocalist,made in brazil,mpb,pop dance
1712,J.K.,00's,euro 90s,sing along,remix,pop dance,house music,house,great,female vocalists,female
1713,Masterboy,dance,00s,dance 90s,soundtrack,sing along,remix,pop dance,male and female,great,eurodance
1714,Leilah Moreno,00's,female,sing along,pop dance,made in brazil,house music,house,great,female vocalists,female vocalist
1715,Modern Talking,80s,disco,eurodance,pop,synthpop,80s pop,dance,electronic,german,lets dance
1716,Taleesa,90's,90s,all time hit,club,dance,dance 90s,dance music,electronic,euro 90s,eurodance
1717,Conexão Midi,90s dance,brasil,brazil,brazilian,club,euroreggae,house,house music,made in brazil,male
1718,No Mercy,pop,90s,ballad,cover,dance,dance 90s,house,house music,male,pop covers
1719,2 Brothers on the 4th Floor,dance,90s,90's,great,trance,soundtrack,sing along,pop,male and female,house music
1720,Vengaboys,90s,pop,dance,00's,eurodance,pop dance,male vocalists,great,funny,female vocalists
1721,Ice MC,pop,dance,1994,great,remix,pop dance,other great tracks,my fav songs,male vocalists,male and female
1722,Andrew Sixty,90's,house music,sing along,remix,pop,male vocalists,male vocalist,male and female,male,italodance
1723,Haddaway,90s,dance,pop,soundtrack,00's,eurodance,pop dance,male vocalists,male,lpa
1724,Dr. Alban,dance,90s,eurodance,pop,90s dance,best songs of the 90s,club,electronic,male,male and female
1725,Eiffel 65,dance,90s,guilty pleasures,1990's,italodance,party,oh so catchy,nineties,male vocalist,male
1726,Tom Jones,70s,pop,60s,rock,classic rock,male vocalists,1965,wales,synth pop,soundtrack
1727,Mesh,synthpop,electronic,british,alternative,dance,ebm,great song,synth pop,synth,seen live
1728,Everything but the Girl,downtempo,chillout,trip-hop,electronic,pop,electronica,lounge,soul,sensual,jazz
1729,Shocking Blue,classic rock,60s,rock,psychedelic rock,dutch,1970,hit,psychedelic,popular,oldies
1730,Blockhead,trip-hop,ninja tune,downtempo,electronic,aana,check,descoperiri,hip-hop,instrumental,myfavoritesongs
1731,After the Burial,metalcore,deathcore,progressive metalcore,experimental,hardcore,mathcore,progressive,progressive deathcore,progressive metal,technical deathcore
1732,Ion Dissonance,mathcore,metalcore,grindcore,progressive metal,00s,canada,death metal,deathcore,hardcore,mathmetal
1733,Midnight Juggernauts,australian,electronic,broken-clash,electronica,indie,indie rock,indietronic,indietronica,new wave,synthpop
1734,Benny Benassi,electronic,dance,house,techno,00s,2003,trance,2002,2004,2005
1735,The Presets,electronic,dance,electro,alternative rock,awesome-ness,cesar,cool,friends,hand claps,indie
1736,Mr. Oizo,electro,french,techno,electronic,electronica,minimal,deepclash,experimental,idm,songs for gil
1737,Chromeo,electronic,dance,electro,electronica,house,liz lee,montreal,my electro feelings,my life as liz,two step
1738,Freddie Mercury,rock,classic rock,80s,best songs in the world,covers,damn i love this fucking guy,epic,glam rock,legend,male vocalists
1739,Glass Candy,electronic,beat,dancey,disco,electro,frauen und technik,ladytronica,new wave,poppy,spacey
1740,Ferry Corsten,trance,dance,vocal trance,progressive trance,dutch,electronic,techno,soothing,vocal,uplifting
1741,Gipsy Kings,latin,flamenco,world,chillout,christmas,dance,folk,guitar,instrumental,jazz
1742,Scout Niblett,indie rock,acoustic,british,check,female vocalists,folk,indie folk,lo-fi,new weird america,noise
1743,MUM,electronic,icelandic,idm,experimental,downtempo,electronica,ambient,love it,straight up modern rock,space rock
1744,Morphine,jazz,alternative,bark,barkbarkdisco,blues,favorite,fuck you,gluhie 90e,goodbye,leave me alone
1745,The Brian Jonestown Massacre,psychedelic,indie rock,american,instrumental,skins soundtrack,shoegaze,rockpop,rock,psicodelia,other
1746,The Warlocks,psychedelic,indie rock,rock,beach,buy this,indie,lastfm,psicodelia,shoegaze,smooth night driving
1747,Spiritualized,space rock,psychedelic,alternative,experimental,indie rock,dream pop,orchestral pop,space-rock,best song ever,soundtrack
1748,The Dandy Warhols,alternative,alternative rock,indie rock,indie,rock,american,pop,sad and beautiful,live,lustpop
1749,Brendan Benson,singer-songwriter,indie,alternative,alternative rock,pop,power pop,rock,00s,american,indie pop
1750,Silversun Pickups,indie,indie rock,shoegaze,alternative,rock,sxsw2006,silversun pickups,sexy,seen live,new discovery
1751,Sun City Girls,experimental,alternative,avant-garde,free jazz,headphone music,indie,indie rock,my angular favourites,songs for sssi,where is my bong
1752,Wilco,indie,alt-country,indie rock,rock,experimental rock,alternative,psychedelic rock,other great tracks,not-emo,live
1753,Spacemen 3,psychedelic,alternative,british,experimental,indie,indie rock,noise,post-punk,psicodelia,rock
1754,Cold War Kids,indie rock,rock,alternative,indie,acoustic,american,cute,fucking awesome,gossip girl,idolo
1755,Dinosaur Jr.,alternative,indie rock,noise pop,alternative rock,90s,80s,the songs that make me sick with butterflies,space rock,rock,post hardcore
1756,Maylene and the Sons of Disaster,christian,southern rock,hardcore,metalcore,amazing,beautiful,inlove,makes me cry,nothing is better than this,orgasm
1757,From Autumn to Ashes,emocore,rock,screamo,alternative,awesome guitar jams,hardcore,ich liebe dich,metal,metalcore,precious
1758,Emancipator,trip-hop,downtempo,electronic,chillout,ambient,best song ever,favourites,hip-hop,instrumental,melancholy
1759,Badly Drawn Boy,indie,best christmas songs,bittersweet pop,chill,coffeeshop,finale montage,indie pop,paint-the-world-in-colour,piano,smooth night driving
1760,Lamb,trip-hop,electronic,female vocalists,chillout,trip hop,ambient,electronica,downtempo,essential instrumental versions,excellent vocals
1761,The Vines,alternative,indie,rock,indie rock,alternative rock,australia,awesome,cover,covers,garage rock revival
1762,Saltillo,trip-hop,downtempo,electronic,ambient,exquisite,sad,no genre can describe,melancholy,irresitable,instrumental
1763,The Postal Service,indie,electronic,alternative,indie pop,electronica,rock,indie rock,mellow,chillout,dance
1764,VETO,indie rock,indie,rock,00s,cool,danish,electronic,electronica,experimental,indie pop
1765,Mike Oldfield,instrumental,progressive rock,new age,ambient,rock,rain,electronic,rio,progressive,post modern
1766,UFO,hard rock,classic rock,progressive rock,heavy metal,rock,70s,favorite songs,guilty pleasure,late night tunes,really sad thing
1767,Status Quo,rock,classic rock,hard rock,70s,80s,60s,rock and roll,british,male vocalists,rock n roll
1768,Vangelis,soundtrack,instrumental,ambient,electronic,new age,chillout,electronica,epic,faves,slowies
1769,The Jam,punk,mod,80s,new wave,rock,british,power pop,mod revival,1982,slowies
1770,Foreigner,classic rock,80s,rock,pop,hard rock,70s,1984,male vocals,soft rock,seen live
1771,Leaves' Eyes,gothic metal,symphonic metal,female fronted metal,gothic,female vocalists,metal,autumn,beautiful female vocalist,female vocalist,folk metal
1772,Sirenia,gothic metal,symphonic metal,gothic,death metal,female fronted metal,female vocalists,haired-red fronted woman,hans,metal sisters,pagan
1773,Télépopmusik,trip-hop,downtempo,electronic,chillout,lounge,ambient,electronica,perfection,love it,my electro feelings
1774,Die Ärzte,deutschrock,punk rock,deutsch,german,punk,rock,die aerzte,die beste band der welt,fucking awesome,made of fucking win
1775,Die Toten Hosen,punk rock,punk,rock,deutschrock,german,awesome song,cover,deutsch,male vocalist,my 500 essential songs
1776,Poison,80s,hard rock,hair metal,rock,classic rock,glam metal,pop metal,1986,pop rock,pop
1777,Demon Hunter,metalcore,christian metal,metal,hardcore,christian,nu metal,jesus 12,top christian,preferidas,powerful
1778,Kyte,post-rock,ambient,electronic,shoegaze,atmospheric,chill,dreamy,indie,mellow,relaxing
1779,Switchfoot,alternative rock,rock,christian rock,christian,alternative,indie,soundtrack,beautiful,pop rock,4m4zinq
1780,Staind,rock,alternative,alternative rock,hard rock,alternative metal,metal,grunge,post-grunge,acoustic,pop rock
1781,Europe,80s,hard rock,rock,classic rock,hair metal,glam metal,heavy metal,1980s,pop,instrumental
1782,Lucero,alt-country,latin pop,alt country,ballad,brutal death metal,emo,gay,mexico,no idea,pop
1783,Alkaline Trio,alternative,punk,punk rock,rock,pop punk,alternative rock,brings back memories,covers,emo,fcking good
1784,Hot Water Music,emo,eses muleq eh da pesada,fcking good,hardcore,indie rock,makes me wanna kick someones ass,post-hardcore,punk rock,raw,the end
1785,Descendents,punk,pop punk,80s hardcore,brings back memories,hardcore,hardcore punk,melodic punk,old school,punk rock,rock
1786,The Thermals,rock,american,noise pop,sub-pop,songs ive obsessed over,smash it up,seen live,pop,no fi,awesome-ness
1787,The Get Up Kids,emo,indie,90s,fossa,the get up kids,sad,love,indie rock,ich liebe dich,favourites
1788,The Spill Canvas,alternative,indie,acoustic,alternative rock,awesome,breakup music,country pop,indie rock,kickass,love songs
1789,Мои Ракеты Вверх,indie,indie rock,russian,seen live,awesome,beautiful,hip-hop,myfavoritesongs,perfect,post-grunge
1790,The American Dollar,post-rock,ambient,electronic,instrumental,atmospheric,beautiful,aana,abstract,chillout,descoperiri
1791,The Undertones,punk,british punk,britpop,favourite song ever,happy,hyper,i am in love with this song,indie rock,pop punk,power pop
1792,The Yardbirds,classic rock,60s,rock,blues,blues rock,psychedelic,british,british invasion,1967,1966
1793,Paloma Faith,female vocalists,soul,alternative,pop,4m4zinq,blues,bri11i4nt,british,britpop,cesar
1794,Kill Hannah,indie,alternative,alternative rock,rock,seen live,pop punk,male vocalists,idolo,i love dancing about to this like a complete and utter idiot,i am in love with this song
1795,Ronan Keating,pop,4m4zinq,90s,beautiful,cover,irish,male vocalists,pop covers,rock,seen live
1796,Julieta Venegas,pop,latin,female vocalists,spanish,singer-songwriter,lpa,seen live,rock,mexico,mexican
1797,Taking Back Sunday,alternative,rock,indie,awesome,punk,emo,alternative rock,post hardcore,soundtrack,pop punk
1798,Entombed,death metal,death n roll,old school death metal,fucking awesome,good stuff,metal,play this loud enough to raise the dead,powerful,swedish death metal,swedish metal
1799,Burzum,black metal,dark ambient,true norwegian black metal,raw black metal,metal,norwegian black metal,atmospheric black metal,norwegian metal,true black metal,powerful
1800,Darkthrone,black metal,death metal,crust,norway,00s,d-beat,heavy metal,metal,norsk arysk metal,norwegian black metal
1801,Drake Bell,pop,pop rock,rock,cool,indie,indie rock,nick,nickelodeon,teen pop,underrated
1802,Линда,pop,alternative,alternative rock,crow,downtempo,female vocalist,house,musica russa,rock,russian
1803,Trash Palace,00s,dance,downtempo,electronic,electronica,female vocalists,indie,indietronica,rock,sex
1804,Client,electronic,synthpop,british,female vocalists,electroclash,electro,mad about,synth pop,remix,pop
1805,Ian Brown,seen live,alternative,alternative rock,rock,pop,neo-classical underground,modern-classic,manchester,indie rock,indie
1806,Nephew,seen live,00s,cool,electronic,martin gore,rock,rock me babe,synth-rock,synthpop,tony soprano
1807,Tricky,trip-hop,downtempo,electronic,chillout,electronica,sexy,alternative,trip hop,mellow,british
1808,Melotron,synthpop,german,ebm,electronic,seen live,80s,futuremelon,futurepop,pop,synth pop
1809,Heavenly,indie pop,twee,be-my-baby drum,bliss,blissrock,dreampop,indie,pop,power metal,two bands with same name
1810,Jermaine Jackson,rnb,70s,soul,pop,oldies,80s,male vocalists,funk,seventies,motown
1811,Lionel Richie,soul,80s,pop,rnb,american,love songs,ballad,chill zone,dance,duets
1812,Wiser Time,blues rock,70's rock,love and devotion,male vocalist,new jersey,newjersey,retro rock,rhythym blues,rock n roll,seen live
1813,Jars of Clay,christian rock,christian,christmas blend,strong lyrics,keep ya calm,inspirational,hypnotic,harmony,favorites,5 stars
1814,Gerry Rafferty,70s,classic rock,mellow,70's,dazs favourites,pop,rock,rock n roll,scottish,soundtrack
1815,Tom Petty and the Heartbreakers,classic rock,rock,singer-songwriter,80s,blues rock,countries,covers,folk,soundtrack,southern rock
1816,MxPx,punk,punk rock,christian,pop punk,rock,alternative rock,cool,favorites,good,poppunk
1817,Sohodolls,electronic,indie,indietronica,female vocalists,sexy,00s,british,dance,electronica,idm
1818,The Crash,indie,2003,alternative,cute,finnish,happy,indie pop,my fav songs,pop,rock
1819,The Raveonettes,indie rock,noise pop,indie,shoegaze,lo-fi,alternative,seen live,gossip girl,rock,surf rock
1820,Hellogoodbye,indie,powerpop,electronic,rock,hellogoodbye,dance,emo,pop,love,male vocalists
1821,"Does It Offend You, Yeah?",electronic,british,dance,electro,new rave,indie,alternative dance,gossip girl,the fact that this is the name of a band makes me want to check their music out even though i do not care much for indie pop,makes me want to dance
1822,Junior Senior,bark,barkbarkdisco,catchy,dance,dance party,electronica,electropop,fun,guilty pleasure,handclaps
1823,Lungbutter,actual lungbutter,surf punk,rock hard,satire,secret chiefs 3,sex,sexy,songs for gil,sun city girls,tenacious d
1824,Angry Petunias,alternative,porno,weird al,they might be giants,the residents,the music maker society,the jesus lizard,tenacious d,surf punk,songs for gil
